location_id,store_id,store_name,category,sub_category,floor,state_id,country_id,district_id,neighborhood_id,parent_company,latitude,longitude,contact_number,created_at,modified_at,is_deleted,weekly_footfall,Age Range,Customer Type,Ethnicity,Gender Distribution
14082,100101,Max,Shopping,Anchor,Tunisia Court,2,220,,, Landmark Group,25.0457804,55.12017,97143685435,19:07.6,19:07.6,0,8000,18-45 years,Budget-conscious families and middle-income professionals shopping for affordable apparel.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100102,Brands For Less,Shopping,Anchor,Andalusia Court,2,220,,, BFL Group,25.04556322,55.11867391,97145142533,19:07.6,19:07.6,0,5000,18-45 years,Specific customer type not available for this store.,Primarily Western and South Asian,Female-dominated
14082,100103,MARKS & SPENCER,Shopping,Anchor,India Court,2,220,,, Marks and Spencer Group plc,25.0460569,55.12037092,97144471623,19:07.6,19:07.6,0,9000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100104,R&B Fashion,Shopping,Anchor,Persia Court,2,220,,,Apparel Group,25.04460364,55.12052836,552136901,19:07.6,19:07.6,0,5000,18-45 years,Young professionals and families looking for casual and stylish clothing.,Primarily Western and South Asian,Female-dominated
14082,100105,Carrefour,Shopping,Anchor,Tunisia Court,2,220,,, Majid Al Futtaim Group,25.0416848,55.1159144,+971 4 821 8154,19:07.6,19:07.6,0,50000,15-65 years,"Families, expatriates, and professionals shopping for groceries and household goods.",Multicultural (Families and Expats),Balanced (Families)
14082,100106,Brands for Less,Shopping,Anchor,Persia Court,2,220,,, BFL Group,25.04556811,55.11866877,+971 4 4273125,19:07.6,19:07.6,0,,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100107,BRAND BAZZAAR,Shopping,Anchor,Persia Court,2,220,,,Apparel Group,25.044957,55.11827,547932235,19:07.6,19:07.6,0,4000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100108,H&M,Shopping,Anchor,Persia Court,2,220,,, H&M Group,25.04486437,55.12020515,+971 4 419 0626,19:07.6,19:07.6,0,9000,18-45 years,Teens and young professionals seeking trendy and affordable fashion.,Primarily Western and South Asian,Female-dominated
14082,100109,CENTREPOINT,Shopping,Anchor,Persia Court,2,220,,, Landmark Group,25.04448058,55.12009524,+971 501696391,19:07.6,19:07.6,0,8000,18-50 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100110,Al Ansari Exchange,Shopping,BFSI,China Court,2,220,,,Al Ansari Group,25.04823549,55.12208958,+971 4 456 1651,19:07.6,19:07.6,0,3000,25-50 years,Professionals and expatriates managing remittances and financial services.,Primarily South Asian and Arab,Male-dominated
14082,100111,Al Fardan Exchange,Shopping,BFSI,Andalusia Court,2,220,,,Al Fardan Group,25.0424065,55.11729581,+971 4 882 6003,19:07.6,19:07.6,0,2500,25-50 years,Specific customer type not available for this store.,Primarily South Asian and Arab,Male-dominated
14082,100112,Dubai Islamic Bank,Shopping,BFSI,China Court,2,220,,, Dubai Islamic Bank PJSC,25.04796857,55.12219778,+971 4 609 2222,19:07.6,19:07.6,0,3000,18-45 years,Local professionals and expatriates handling personal finances and savings.,Primarily South Asian and Arab,Male-dominated
14082,100113,Emirates National Bank of Dubai,Shopping,BFSI,India Court,2,220,,, Emirates NBD,25.04601298,55.12040952,+971 4 609 2222,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,Primarily South Asian and Arab,Male-dominated
14082,100114,LM Exchange,Shopping,BFSI,Tunisia Court,2,220,,,LM group,25.04234948,55.11825096,+971 4 339 9670,19:07.6,19:07.6,0,2500,18-50 years,Specific customer type not available for this store.,Primarily South Asian and Arab,Male-dominated
14082,100115,Sharaf Exchange,Shopping,BFSI,Andalusia Court,2,220,,,Sharaf Group,25.0421124,55.11838931,971 4 368 5688,19:07.6,19:07.6,0,2500,18-45 years,Specific customer type not available for this store.,Primarily South Asian and Arab,Male-dominated
14082,100116,Al Ansari Exchange,Shopping,BFSI,Tunisia Court,2,220,,,Al Anasari Group,25.04646647,55.12140294,971 4 368 5688,19:07.6,19:07.6,0,2500,25-50 years,Professionals and expatriates managing remittances and financial services.,Primarily South Asian and Arab,Male-dominated
14082,100117,Goyals,Shopping,Books,Egypt Court,2,220,,,The Goyal Group,25.04476222,55.11898585,4689948,19:07.6,19:07.6,0,2000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100118,Borders,Shopping,Books,China Court,2,220,,,Borders Group,25.0467427,55.1197798,+971 4 434 1925,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100119,Claire's,Shopping,Fashion,Egypt Court,2,220,,,Claire's Stores,25.0445,55.1177197,+971 4 419 0655,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100120,Aldo Accessories,Shopping,Fashion,India Court,2,220,,,Apparel Group,25.044587,55.1177162,+971 552136090,19:07.6,19:07.6,0,4000,18-50 years,Specific customer type not available for this store.,Primarily Western and South Asian,Female-dominated
14082,100121,The Children's Place,Shopping,Fashion,Persia Court,2,220,,,Apparel Group,25.045038,55.11845,+971 555976205,19:07.6,19:07.6,0,5000,10-35 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100122,Kidz Palooza,Shopping,Fashion,Egypt Court,2,220,,,Independent,25.04354208,55.117012,04 576 9180,19:07.6,19:07.6,0,3500,10-35 years,Parents seeking fun and educational activities for children.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100123,The Custom Shop,Shopping,Fashion,India Court,2,220,,,,25.0456267,55.1188037,+971 4 456 5280,19:07.6,19:07.6,0,2500,18-45 years,Professionals shopping for bespoke or luxury apparel.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100124,Gentle Park,Shopping,Fashion,Persia Court,2,220,,,,25.04575544,55.11936758,45778108,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100125,BRANDS,Shopping,Fashion,Egypt Court,2,220,,,,25.04424301,55.11932171,971 4 5837116,19:07.6,19:07.6,0,4000,18-50 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100126,Arrow,Shopping,Fashion,India Court,2,220,,,Arvind Limited,25.0459715,55.1193989,+971 4 368 5650,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100127,Pierre Cardin,Shopping,Fashion,Egypt Court,2,220,,,Pierre Cardin Paris LLC,25.0429407,55.11897,+971 561883740,19:07.6,19:07.6,0,3500,15-50 years,Professionals and middle-income shoppers interested in sophisticated fashion.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
14082,100128,Wrangler,Shopping,Fashion,Persia Court,2,220,,,Arvind Limited,25.0453919,55.1180319,526925254,19:07.6,19:07.6,0,3000,25-65 years,Specific customer type not available for this store.,"Diverse (Emirati, South Asian, Western, Arab, Southeast Asian)",Balanced
